class_name;weak-F1;Nref;F;Pre;Rec;Acc;Nref_Seg;F_Seg;Pre_Seg;Rec_Seg;Acc_Seg
Alarm_bell_ringing;0.951;165.000;0.694;0.791;0.618;0.618;356.000;0.857;0.911;0.809;10.837;
Blender;0.921;89.000;0.636;0.585;0.697;0.697;307.000;0.759;0.696;0.834;12.349;
Cat;0.975;116.000;0.685;0.753;0.629;0.629;210.000;0.841;0.931;0.767;18.538;
Dishes;0.939;151.000;0.521;0.713;0.411;0.411;228.000;0.674;0.863;0.553;16.807;
Dog;0.901;90.000;0.519;0.778;0.389;0.389;164.000;0.664;0.905;0.524;23.579;
Electric_shaver_toothbrush;0.889;45.000;0.723;0.789;0.667;0.667;216.000;0.840;0.867;0.815;17.995;
Frying;0.774;32.000;0.627;0.600;0.656;0.656;176.000;0.820;0.777;0.869;22.085;
Running_water;0.909;29.000;0.471;0.545;0.414;0.414;135.000;0.712;0.832;0.622;28.785;
Speech;0.929;411.000;0.743;0.782;0.708;0.708;848.000;0.866;0.874;0.858;4.397;
Vacuum_cleaner;0.868;44.000;0.526;0.490;0.568;0.568;261.000;0.782;0.761;0.805;14.701;

